Date, Open, High, Low, Close
08/09/22, 1.738, 1.780, 1.709, 1.770
08/08/22, 1.845, 1.845, 1.703, 1.738
08/05/22, 1.728, 1.872, 1.716, 1.845
08/04/22, 1.742, 1.791, 1.667, 1.728
08/03/22, 1.633, 1.792, 1.633, 1.742
08/02/22, 1.560, 1.640, 1.453, 1.633
08/01/22, 1.598, 1.652, 1.524, 1.560
07/29/22, 1.610, 1.673, 1.587, 1.598
07/28/22, 1.757, 1.797, 1.577, 1.610
07/27/22, 1.708, 1.769, 1.705, 1.757
07/26/22, 1.706, 1.713, 1.653, 1.708
07/25/22, 1.724, 1.771, 1.692, 1.706
07/22/22, 1.881, 1.881, 1.699, 1.724
07/21/22, 1.948, 2.046, 1.851, 1.881
07/20/22, 1.923, 1.948, 1.807, 1.948
07/19/22, 1.870, 1.963, 1.802, 1.923
07/18/22, 1.799, 1.874, 1.796, 1.870
07/15/22, 1.841, 1.841, 1.748, 1.799
07/14/22, 1.708, 1.868, 1.708, 1.841
07/13/22, 1.702, 1.802, 1.666, 1.708
07/12/22, 1.806, 1.806, 1.627, 1.702
07/11/22, 1.856, 1.856, 1.752, 1.806
07/08/22, 1.754, 1.871, 1.716, 1.856
07/07/22, 1.685, 1.799, 1.685, 1.754
07/06/22, 1.646, 1.735, 1.569, 1.685
07/05/22, 1.789, 1.810, 1.636, 1.646
07/04/22, 1.659, 1.801, 1.659, 1.789
07/01/22, 1.842, 1.857, 1.561, 1.659
06/30/22, 2.033, 2.033, 1.824, 1.842
06/29/22, 2.112, 2.124, 2.009, 2.033
06/28/22, 1.997, 2.148, 1.997, 2.112
06/27/22, 1.922, 2.039, 1.922, 1.997
06/24/22, 1.928, 2.002, 1.850, 1.922
06/23/22, 2.137, 2.137, 1.887, 1.928
06/22/22, 2.316, 2.316, 2.073, 2.137
06/21/22, 2.298, 2.352, 2.243, 2.316
06/20/22, 2.194, 2.311, 2.177, 2.298
06/17/22, 2.101, 2.231, 2.016, 2.194
06/16/22, 1.972, 2.300, 1.903, 2.101
06/15/22, 2.137, 2.137, 1.920, 1.972
06/14/22, 2.161, 2.192, 2.052, 2.137
06/13/22, 2.087, 2.205, 2.070, 2.161
06/10/22, 1.888, 2.089, 1.867, 2.087
06/09/22, 1.810, 1.925, 1.800, 1.888
06/08/22, 1.775, 1.838, 1.775, 1.810
06/07/22, 1.795, 1.851, 1.756, 1.775
06/06/22, 1.693, 1.812, 1.693, 1.795
06/03/22, 1.693, 1.693, 1.693, 1.693
06/02/22, 1.693, 1.693, 1.693, 1.693
06/01/22, 1.601, 1.693, 1.595, 1.693
05/31/22, 1.493, 1.634, 1.472, 1.601
05/30/22, 1.453, 1.525, 1.453, 1.493
05/27/22, 1.472, 1.474, 1.385, 1.453
05/26/22, 1.456, 1.500, 1.383, 1.472
05/25/22, 1.461, 1.505, 1.421, 1.456
05/24/22, 1.585, 1.585, 1.415, 1.461
05/23/22, 1.510, 1.659, 1.502, 1.585
05/20/22, 1.508, 1.569, 1.488, 1.510
05/19/22, 1.474, 1.520, 1.403, 1.508
05/18/22, 1.466, 1.529, 1.391, 1.474
05/17/22, 1.249, 1.475, 1.249, 1.466
05/16/22, 1.268, 1.321, 1.244, 1.249
05/13/22, 1.195, 1.296, 1.195, 1.268
05/12/22, 1.328, 1.328, 1.190, 1.195
05/11/22, 1.357, 1.455, 1.318, 1.328
05/10/22, 1.443, 1.443, 1.312, 1.357
05/09/22, 1.531, 1.591, 1.438, 1.443
05/06/22, 1.575, 1.575, 1.496, 1.531
05/05/22, 1.673, 1.684, 1.436, 1.575
05/04/22, 1.678, 1.729, 1.671, 1.673
05/03/22, 1.619, 1.720, 1.619, 1.678
05/01/22, 1.619, 1.619, 1.619, 1.619
04/29/22, 1.574, 1.635, 1.521, 1.619
04/28/22, 1.528, 1.616, 1.514, 1.574
04/27/22, 1.532, 1.571, 1.521, 1.528
04/26/22, 1.599, 1.613, 1.516, 1.599
04/25/22, 1.750, 1.750, 1.588, 1.599
04/22/22, 1.784, 1.800, 1.716, 1.750
04/21/22, 1.621, 1.789, 1.621, 1.784
04/20/22, 1.630, 1.641, 1.556, 1.621
04/19/22, 1.590, 1.685, 1.590, 1.630
04/18/22, 1.590, 1.590, 1.590, 1.590
04/15/22, 1.590, 1.590, 1.590, 1.590
04/14/22, 1.517, 1.599, 1.487, 1.590
04/13/22, 1.533, 1.631, 1.516, 1.533
04/12/22, 1.591, 1.637, 1.514, 1.533
04/11/22, 1.498, 1.599, 1.498, 1.591
04/08/22, 1.485, 1.555, 1.468, 1.498
04/07/22, 1.481, 1.519, 1.434, 1.485
04/06/22, 1.457, 1.553, 1.457, 1.481
04/05/22, 1.364, 1.493, 1.364, 1.457
04/04/22, 1.380, 1.426, 1.343, 1.364
04/01/22, 1.351, 1.433, 1.351, 1.380
03/31/22, 1.380, 1.387, 1.323, 1.351
03/30/22, 1.364, 1.402, 1.320, 1.380
03/29/22, 1.361, 1.447, 1.338, 1.364
03/28/22, 1.416, 1.500, 1.331, 1.361
03/25/22, 1.464, 1.464, 1.299, 1.416
03/24/22, 1.456, 1.537, 1.444, 1.464
03/23/22, 1.512, 1.512, 1.400, 1.456
03/22/22, 1.414, 1.512, 1.414, 1.512
03/21/22, 1.304, 1.423, 1.304, 1.414
03/18/22, 1.392, 1.399, 1.276, 1.304
03/17/22, 1.509, 1.538, 1.335, 1.392
03/16/22, 1.453, 1.516, 1.453, 1.509
03/15/22, 1.470, 1.478, 1.419, 1.453
03/14/22, 1.370, 1.482, 1.370, 1.470
